Variable:,tasmax
Country:,Türkiye
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,6.30,8.57,12.54,16.41,22.27,26.45,30.34,32.16,27.77,18.45,16.42,9.63
2011,5.04,6.12,10.31,14.00,19.39,25.40,30.69,29.70,26.65,17.86,8.27,6.28
2012,2.96,3.10,8.10,18.41,21.41,27.91,30.73,30.19,27.17,21.59,13.78,6.82
2013,5.09,8.24,12.04,17.37,22.75,26.75,29.00,30.11,25.45,18.36,13.73,3.51
2014,6.39,9.06,12.71,17.63,21.21,25.76,30.32,31.41,25.45,18.77,11.52,8.31
2015,4.50,6.63,10.44,14.73,21.51,24.98,29.90,29.39,28.45,19.65,14.06,5.21
2016,4.14,10.48,12.46,19.67,20.65,27.03,30.26,31.24,25.41,20.23,12.55,3.04
2017,2.16,5.84,11.78,16.24,20.83,26.48,31.37,30.86,28.77,19.34,12.36,8.67
2018,6.10,9.65,14.19,19.51,22.22,26.45,30.39,30.54,26.92,20.65,12.79,6.43
2019,4.89,7.43,11.02,14.59,23.07,27.35,29.10,30.22,26.37,22.30,15.00,7.75
2020,4.84,6.88,12.63,16.06,21.88,26.15,30.78,30.46,28.91,23.36,12.81,8.55
2021,6.90,8.97,9.93,17.46,24.25,26.09,30.85,31.03,25.40,19.66,14.51,7.34
